bugid,sd,rs
255807,OutOfMemoryError: GC overhead limit exceeded,1
255810,Add Host Not Working,0
255812,java.lang.OutOfMemoryError: GC overhead limit exceeded,0
255816,"Javacard plugins not listed in ""Available Plugins"" in the NetBeans IDE",1
255817,NullPointerException: The activatedFileObjects parameter cannot be null,1
255822,Add examples for 'Group Multiline Alignment',1
255825,Test functionality of Bugzilla - EDIT issue(SSO),1
255826,Open Remote File/Project Dialog is empty in certain cases,1
255827,Nette2 and Twig setting are not imported,1
255828,java.nio.file.InvalidPathException: Trailing char < > at index 61: C:\Users\adm_mipolo\Documents\NetBeansProjects\WS REST Sample \src\conf\persistence.xml,1
255829,Update tomcat to 8.0.27,1
255831,boot-fx presenter cannot be used multiple times,1
255832,Move options for 'Fix Uses' into related dialog,0
255855,project tree show repeat folders,1
255856,OutOfMemoryError: GC overhead limit exceeded,0
255861,Unable to download Twitter Bootstrap 2.3.2 when creating a new HTML project,1
255862,NullPointerException at org.netbeans.modules.uihandler.Installer$SubmitInteractive$7.run,1
255863,Test functionality of Bugzilla - EDIT issue(SSO),1
255866,Java Doc wrong on BrwsrCtx.execute,1
255868,The extexecution api should use JDK9 to kill process tree,1
255871,Wrong path for installing JRE,1
255872,Code completion doesn't work for Node.js 4.x version,1
255873,AssertionError: Path must be absolute: C:/qt/qt5.1.1/tools/mingw48_32/i686-w64-mingw32/include/sec_api,1
255875,"AssertionError: local file resolved in remote folder rfs:alsimon@beta.ru.oracle.com:22/usr/include: FileEntry{ Name=E:\projects\cmake-2.6.4\Example\Demo\hello.h, Size=85, ModTime=2324908227, Dir=Direc",1
255877,Failing org.netbeans.modules.cnd.modelimpl.trace.FileModel3Tes,1
255878,Show proper node.js version in IDE Options,1
255879,Querying blob columns results in excessive CPU usage,1
255880,Execution times are always showing 0.001s and never real execution time,1
255888,"Remote project, which was opened via sym link, debug points are not visible while debugging",1
255890,Test functionality of Bugzilla - EDIT issue(SSO),1
255892,[newcodemodel] UnsupportedOperationException: StringRef can not be used as key in maps,1
255893,java.net.MalformedURLException at org.netbeans.modules.remotefs.versioning.api.VCSFileProxySupport.findExistingParent,1
255894,NullPointerException at org.netbeans.modules.cnd.modelimpl.content.project.GraphContainer.gatherIncludedFiles,1
255898,unresolved enumerator from unnamed enum.,1
255903,unresolved enumerators in struct initializer,1
255907,IllegalStateException: No OutWriter available,1
255908,NullPointerException at org.netbeans.modules.versioning.util.Utils.getLineEnding,1
255910,org.xml.sax.SAXNotSupportedException: not supported setting property http://xml.org/sax/properties/lexical-handler,0
255911,java.util.ConcurrentModificationException at java.util.ArrayList$Itr.checkForComodification,1
255912,NullPointerException at org.netbeans.modules.web.clientproject.ClientSideProjectConvertor$ConvertorClassPathProvider.findClassPath,1
255916,Test functionality of Bugzilla - EDIT issue(SSO),1
255917,Enhance the ProcessesImplementation SPI,1
255918,Smart stepping enhancement,1
255919,NullPointerException at org.netbeans.modules.cnd.debugger.common2.debugger.NativeDebuggerManager.debug,1
255921,NullPointerException at java.io.File.<init>,1
255924,org.netbeans.modules.parsing.impl.RunWhenScanFinishedSupport.runWhenScanFinished: LowPerformance took 151773 ms.,1
255926,java.io.FileNotFoundException: .rfs_attr (Access is denied),1
255928,AbstractMethodError: org.netbeans.modules.cnd.modelimpl.parser.clank.ClankTokenStreamProducer$FileTokenStreamCallback.onEnter(Lorg/netbeans/modules/cnd/apt/support/ClankDriver$ClankFileInfo;Lorg/netbe,0
255929,AssertionError: Must be called on event thread,1
255930,NullPointerException at javax.swing.text.JTextComponent.getCaretPosition,1
255933,Syntax highlighting errors and other errors in header files not in logical folder,1
255936,"""Unable to find any valid shell."" window instead of External Terminal",1
255937,NullPointerException at org.netbeans.modules.search.BasicSearchForm$LengthFilter.replace,1
255943,"Missing ""Call Stack"" tab in Network Monitor window",1
255945,Test functionality of Bugzilla - EDIT issue(SSO),1
255947,"Incorrect hint for ""The assigned value is never used""",1
255948,OutOfMemoryError: GC overhead limit exceeded,0
255950,NullPointerException at java.awt.LinearGradientPaint.<init>,1
255951,NullPointerException at org.netbeans.modules.mercurial.ui.annotate.AnnotationBar.run,1
255953,"Hint ""Dereferencing possible null pointer"" incorrectly influenced by if statement",1
255954,"""Could not initialize org.eclipse.jgit.*"" for any Git command/process",1
255956,"User can't add thread number into ""Thread"" field in ""New Breakpoint"" if number has more then 31 bits",1
255957,remote VCS unit tests are failing,1
255958,IllegalArgumentException at org.netbeans.modules.parsing.api.Embedding.create,1
255959,Dynamic Libraries Not Found for Sample Projects,1
255966,"The types that use the ""<"" or "">"" characters are shown wrongly in the documentation pop-up.",1
255967,Grails project debug is not working,1
255968,"Warning ""Overridable method call in constructor"" for final classes",1
255969,Test functionality of Bugzilla - EDIT issue(SSO),1
255972,True / False / None unreadable with Dark Metal theme,1
255973,Contradictory behavior with profiles,1
255974,Do not step into boxing/unboxing methods when called from skipped code,1
255977,NetBeans 8.1 RC2 Git plugin Show Incoming no longer working for individual directory or individual file,1
255978,java.net.ConnectException: Connection refused: connect,0
255979,Test functionality of Bugzilla - EDIT issue(SSO),1
255982,Active FTP external ip assign,1
255983,[mixeddev] java.util.MissingResourceException: No such bundle org.netbeans.modules.cnd.mixeddev.debugger.Bundle,1
255987,licence headers not added to new Java files dispite project setup,0
255988,Test functionality of Bugzilla - EDIT issue(SSO),1
255990,[mixeddev] stepping from Java into native does not work if Debugging view is open,1
255992,[mixeddev] stepping from Java into native does not work sometimes,0
255993,SASS: Unexpected token LPAREN found,1
255994,[mixeddev] when stepping from Java JNIEnv* does not expand sometimes,1
255995,[mixeddev] stepping from Java into native does not work if default host is remote,1
255997,[mixeddev] ConcurrentModificationException in NativeDebuggerManager.notifyAttached,1
255998,Unify creation of a project from binary,0
255999,Source file errors after running Code Assistant->Reparse Project twice.,1
256002,Creating a project from existing sources,0
256007,changes in the program not reflecting on gui.,0
256009,Autodetect should at least find Python 2.7.x on Linux,1
256023,Modify initial Python.Debugger (2008) message,1
256026,Cannot install the second same instance of nested JRE,1
256030,Can't Update Bugzilla,1
256031,Ftp with explicit TLS now failing with new cpanel 11.52 build 17,0
256032,JPQL result pane does not show all columns,1
256033,Choosing multiple folders for include directories adds bogus entries,1
256036,Packaging and Signing of NBMs for 8.1 release,1
256040,[81cat] AssertionError at org.netbeans.modules.bugzilla.issue.BugzillaIssue.setFieldValue,1
256042,Test functionality of Bugzilla - EDIT issue(SSO),1
256045,"Incorrect fix for ""missing virtual keyword"" hint",1
256047,NullPointerException at org.netbeans.modules.python.project.gsf.BootClassPathImplementation.getUrls,0
256049,Unknown variables in newly created JET QuickStart Basic project,1
256056,Configure Code Assistant button on Clean & Build Output window does nothing.,0
256057,Navigator very slow [was: Code formatting very slow since 8.1 RC1],1
256058,Unresolved items in editor of C++ Project With Existing Sources,1
256061,After upgrading JDK to the version 1.8.0_60 scroll bars are not shown for the long Java classes,0
256062,NetBeans completely hung up,1
256063,OutOfMemoryError: Java heap space,0
256065,Extract anonymous or inner class to separate class file - missing refactoring.,0
256067,Test functionality of Bugzilla - EDIT issue(SSO),1
256068,inaccuracy tests: use boost 1.59.0 in order check IDE parser,1
256071,SecurityException: sealing violation,1
256073,NullPointerException at org.netbeans.modules.mongodb.ui.util.DatabaseNameValidator.validate,1
256076,Error while creating PHP project with existing source containing a pom.xml (7.4 to 8.0.2),0
256079,[mixeddev] There should be a way to attach native debugger to Java process without stepping into native method,1
256081,Command line arguments not properly generated,0
256082,display of variables is often stale,1
256084,PHP hint appears only when editor cursor is positioned on the hinted line.,0
256089,OutOfMemoryError: Java heap space,1
256092,SASS - Unexpected token SASS_VAR found,1
256093,INFO [dlight.libs.common.logger]: no any active cache transaction:class org.netbeans.modules.cnd.api.model.services.CsmSelect$ClassMembersKey,1
256095,Test functionality of Bugzilla - EDIT issue(SSO),1
256098,NullPointerException at org.netbeans.modules.cnd.makeproject.PathMapperProjectMetadataFactory.read,1
256099,unbuffer library is not supported for sparc-Linux,1
256100,Unfriendly Find,1
256102,ArrayIndexOutOfBoundsException: 0,1
256105,Test org.netbeans.modules.templatesui.CompatibilityKitTest.validateOnNextButton is failing,1
256106,PHP traits or fluent does not suggest available methods,1
256108,Can not build Studio with Java 8,1
256109,NullPointerException at org.netbeans.modules.cnd.callgraph.impl.CallGraphPanel.setModel,1
256112,IDE no longer generates JUnit-4 style test classes,0
256113,In code completion type recognition failed with stream and foreach,1
256114,AssertionError: why hasn't stopped after interested file? restore <pthread.h> [131:4/3862-131:24/3882] #0 from line 131 in file PARSED FileImpl @1752398907:2041929660 /home/sova/clucene-core-0.9.11/sr,1
256121,OutOfMemoryError: GC overhead limit exceeded,0
256122,8.1 RC2 IDE will not start unless run as admin -- all others have,1
256127,Test functionality of Bugzilla - EDIT issue(SSO),1
256134,"[mixeddev] Trying mixed dev switches ""autostart"" to false. This confused user.",1
256135,Fix mailing stats for NetCAT,1
256136,Can not step into if autostart is off,0
256141,NullPointerException at org.netbeans.modules.javascript2.editor.navigation.DeclarationFinderImpl.processIndexResult,1
256143,Search box to also search in file names,0
256145,Holding Shift key to add multiple components to a GUI Form is not working,1
256148,AssertionError at org.netbeans.modules.cnd.modelimpl.parser.clank.ClankTokenStreamProducer$FileImplPreprocessorCallback.getCurFile,1
256151,Freeze after remote disconnection,1
256153,Dependecy sources are not downloaded,0
256158,Bogus message: spaces are not allowed in makefile name,1
256159,Grails Platform version detection not working for Grails 3.,1
256160,Find in source files of project causes crash of ide,0
256163,Test functionality of Bugzilla - EDIT issue(SSO),1
256165,Threads view blocking EDT for too many results,1
256170,Address already in use when deploying the project again,0
256171,Address already in use when deploying the project again,0
256174,Create test specification for Plugin Portal Verification,1
256175,138310 happening continuously in NB 8.1 RC2,1
256176,Test functionality of Bugzilla - EDIT issue(SSO),1
256178,Stop constructor generation from @Model if more than 255 properties,1
256181,less  error,1
256186,during refactoring a lot of editStart/editEnd events cause unnecessary reparsing activity,1
256187,[newcodemodel] incosistency between FileEntry.size and Buffer.size,1
256190,Renaming project doesn't change output jar,1
256192,"IllegalStateException: Unable to find the target from Event;targ=jvm-args;consumed;scrLoc=/home/nigel/src/ST/com/aspc/Install/Common/support/bin/core.xml, target name = jvm-args, script location = /ho",1
256195,Test functionality of Bugzilla - EDIT issue(SSO),1
256197,java.lang.IllegalAccessException: class org.netbeans.swing.plaf.Startup cannot access class apple.laf.AquaLookAndFeel (in module java.desktop),1
256199,Attach IDE snapshot to bug doesn't work,1
256201,Debugger ignores symbol file from a project while attaching with a project specified,1
256202,Duplicate action names in context menu,1
256203,NullPointerException at org.netbeans.lib.profiler.results.cpu.CPUCCTContainer.addFlatProfTimeForNode,1
256205,[newcodemodel] automatic test breaks code model in Clucene project,1
256206,"TableCellEditor getCellEditor(Object node, String columnID) called on wrong node when the column is sorted",1
256208,ANT projects return wrong directory from ActionItem.getProjectDirectory(),1
256209,org.netbeans.modules.projectapi.nb.NbProjectManager$2.run: LowPerformance took 20483 ms.,0
256211,Test execution breaks with surefire 2.19,0
256215,Cannot close multiple tabs by using the middle mouse button quickly,1
256221,"[81cat]Go To Type dialog hilighting doesn't work if in the option is selected ""Bold Font""",0
256224,Test functionality of Bugzilla - EDIT issue(SSO),1
256225,C++ code assistance broken namespaces in latest plugin update and Debugging fails,0
256235,Gulp tasks detected wrong,0
256236,Remote Git Ignore command causes UnsupportedOperationException,1
256238,java.util.ConcurrentModificationException at java.util.HashMap$HashIterator.nextNode,1
256243,Code Folding is disabled,0
256244,"Debugger shows only disassembly windows, not C++ source",0
256245,Can't localize CANCEL_OPTION_CAPTION in netbeans\core\windows\services\Bundle.properties,1
256247,"misspelled ""Sumary""",1
256248,Test functionality of Bugzilla - EDIT issue(SSO),1
256249,AssertionError: Should be called in EDT only!,1
256250,java.util.MissingResourceException: No such bundle com.qualixium.playnb.Bundle,1
256251,Waiting for Tomcat...  Starting of Tomcat failed.,0
256252,can not stop wildfly 10 CR4 from netbeans 10 CR2,1
256253,Kill Server option do nothing on contect menu of wildfly server,1
256254,printf() and uintmax_t,1
256259,OracleJET QuickStart Sample broken in Embedded browser,0
256262,Code model does not recognize system macros,1
256263,Cannot start WildFly,1
256267,Exception: Can not get library for artificial project; folder=C:\Developer\msys64\mingw64\x86_64-w64-mingw32\include curFile=INITIAL FileImpl @1780877208:1831204948 C:\Developer\msys64\mingw64\lib\gcc,1
256268,show download details in artifact details classpath view,1
256269,StackOverflowError in FileObjectKeeper.listenToAllRecursion,1
256270,Test functionality of Bugzilla - EDIT issue(SSO),1
256271,org.netbeans.modules.deadlock.detector.Detector$DeadlockDetectedException: Module-Actions,1
256274,"APTFileSearch* and NativeFileSearch are String based, but need to be FSPath-based",1
256277,StringIndexOutOfBoundsException: String index out of range: -1,1
256278,Exception: Path should not start with protocol,1
256279,"[newcodemodel] unresolved #include ""/abs/path"" in full remote project",1
256281,parser error in builtins.h,1
256285,Project with existing code lost C++11 flag after opening,1
256286,Option for gnu++11,0
256288,"Netbeans IDE opening but not showing anything, just opens on taskbar",0
256289,AssertionError: Should be called in EDT only!,1
256290,Test functionality of Bugzilla - EDIT issue(SSO),1
256295,Removed 'Mixed development' item in menu in Netbeans 8.1,1
256296,Additional parens in expression break parser,1
256303,Test functionality of Bugzilla - EDIT issue(SSO),1
256304,After creating new PHP project based on framework like Zend 'Source Files' folder has an error mark but no files with errors inside,0
256305,"Palette windows allows to DnD File Select form, but php webpage parser doesn't like 'value' parameter in it and marks as error",1
256309,Cannot activate Java EE feature,0
256311,create remote Server wizard error!,0
256312,Test functionality of Bugzilla - EDIT issue(SSO),1
256313,Triggered profiling point does not work,1
256315,Unresolved type at offset 0,1
256317,Duplicated maven index files,0
256320,NullPointerException at org.netbeans.modules.maven.junit.ui.MavenJUnitTestMethodNode.getActions,1
256321,printf() and (long)1,1
256322,NPE from ReviewActivityDisplayer.getUserName() breaking activity dashboard,1
256323,Fake Browser Environment is broken in ScriptPresenter,0
256324,Slow scrolling in mid-sized HTML 5 file (with in-line JavaScript),0
256326,[newcodemodel] regression in vlc,1
256333,Test functionality of Bugzilla - EDIT issue(SSO),1
256336,NullPointerException at com.oracle.tools.ide.projectless.utils.ui.properties.PropertyUIFactory$3.getValueType,1
256343,BasicScrollingTabDisplayerUI.getMinimumSize throws IndexOutOfBoundsException when 'new TabbedContainer(TabbedContainer.TYPE_EDITOR)' is done,1
256353,"""ClassLoader Loaded Classes Histro"" Query not sorted",1
256356,Test functionality of Bugzilla - EDIT issue(SSO),1
256357,IllegalArgumentException: URI has a query component,1
256358,[dark] text hard to read on project setup,1
256359,[dark] project discovery status hard to read,1
256364,Projects open in a corrupt way when changing type,0
256366,"creating a new ftp connection NB throws an exception and cannot create it, so i cannot choose it from the combobox of the created connection too",0
256368,Python Platform Autodetect is broken on Windows,1
256371,"""Generate JNI project"" menu item is sometimes grayed",1
256375,Netbeans download wrong node.js sources,1
256376,Test functionality of Bugzilla - EDIT issue(SSO),1
256379,"""Insert Code"" does not work if a class does not have fields",1
256383,org.netbeans.spi.project.support.ant.PropertyUtils.resolveFileObject: LowPerformance took 22080 ms.,0
256386,NetBeans Dashboard should update itself until FCS not RC,1
256387,Javascript; Wrong coloring of variable as  undefined global,1
256389,"I am not able to start a python project, I have already installed python plugins, python, jython but it is not identifying and I am not able to work on python.",0
256395,OutOfMemoryError: GC overhead limit exceeded,0
256396,NullPointerException at com.igormaznitsa.nbmindmap.nb.refactoring.elements.AbstractPlugin.processFileObject,0
256397,NullPointerException at org.jdesktop.swingx.JXSearchField.customSetUIProperty,0
256400,Test functionality of Bugzilla - EDIT issue(SSO),1
256401,org.netbeans.modules.maven.M2AuxilaryConfigImpl.doGetConfigurationFragment: LowPerformance took 20709 ms.,1
256403,NoSuchMethodError: org.netbeans.modules.cnd.testrunner.spi.TestRecognizerHandler.<init>(Ljava/lang/String;Z)V,0
256404,Introduced variable shadowing a field leads to change of behavior and compile error,1
256406,There is no navigator action to go to object declaration.,1
256407,OutOfMemoryError: Java heap space,0
256408,no any active cache transaction in CsmDefineHyperlinkProvider.goToDeclaration(CsmDefineHyperlinkProvider.java:109),1
256409,File auto scan should skip build folder.,1
256411,AssertionError: Should be called in EDT only!,1
256412,"Vendor ""Run Focused Test Method"" unavailable",1
256415,Can not unignore an ignored file under Remote Git,1
256416,homepage,1
256418,NoClassDefFoundError: Could not initialize class org.netbeans.modules.project.ant.AntBuildExtenderAccessor,0
256421,java.util.ConcurrentModificationException at java.util.ArrayList$Itr.checkForComodification,1
256423,java.io.IOException: Directory for sample database already exists and is not empty: 'C:\Users\jyeary\.netbeans-derby\sample',1
256425,unnecessary test for null following ignored exception,1
256427,Related BraceContext doesn't work,1
256428,IllegalArgumentException: Handle for synthetic path,1
256429,LESS: Unexpected token AT_SIGN found,1
256430,Test functionality of Bugzilla - EDIT issue(SSO),1
256442,can't see values of array when I right click on them when stopped at breakpoint.,0
256443,Create class dialog creates class in default package when using pasted fully qualified class name,0
256446,Test functionality of Bugzilla - EDIT issue(SSO),1
256449,NbActiveDocumentProvider and I/O in EDT: LowPerformance took 26636 ms.,1
256450,"When I try to debug, I receive this message: ""netbeans socket exception occurred""",0
256453,"IndexOutOfBoundsException: Index: 29, Size: 28",1
256454,Test functionality of Bugzilla - EDIT issue(SSO),1
256456,[ConvertorProjects] go to file/type results columns,1
256457,[newcodemodel] NullPointerException at org.netbeans.modules.cnd.spi.utils.CndFileSystemProvider$DefaultProvider.urlToFileSystemImpl,1
256458,org.netbeans.modules.deadlock.detector.Detector$DeadlockDetectedException: AWT-EventQueue-0,1
256463,[ConvertorProjects] Project files not found,1
256464,A11Y: Ambiguous mnemonic in Find Usages dialog,1
256468,ide 6.5 won't start,0
256471,JSHint is having issues when 'Generate JsHint global directive',1
256472,Implicit Dependency between editor.completion and spi.editor.hints,1
256479,bower.json can not be found while it is already created,0
256486,when creating C++ class header file is wrong,0
256487,Test functionality of Bugzilla - EDIT issue(SSO),1
256488,Grunt/Gulp Actions are not shown on files not directly in project folder,1
256492,NPE at MakefileParser.parse(MakefileParser.java:110),1
256494,SASS: Unexpected token DOT found,1
256495,SASS: Unexpected token LPAREN found,1
256499,Mixed debugging does not work,1
256502,AssertionError: Should be called in EDT only!,1
256503,java.io.IOException: Server returned HTTP response code: 400 for URL: http://104.236.211.12/exception/report,0
256504,@JavaScriptBody cannot return primitive[],0
256505,NullPointerException at org.kaczka.video.provider.MediaPlayerImpl.setVolume,0
256506,Breakpoint is set instead of opening the hint-dialog,0
256509,"Having ""Java --> Braces Placement --> Other"" set to ""New Line"" messes up the formatting of functional loops",1
256510,Test functionality of Bugzilla - EDIT issue(SSO),1
256511,No PHPUnit scripts found,0
256512,Formatting ?:,1
256513,OutOfMemoryError: unable to create new native thread,1
256514,NullPointerException at org.netbeans.modules.javadoc.highlighting.Highlighting.<init>,1
256515,Stop action displays wrong tooltip,1
256516,StackOverflowError at org.netbeans.modules.cnd.repository.RepositoryImpl.get,1
256518,"Second paste adds unnecessary rows in the ""Insert rows"" dialog",1
256523,Step Into from java to native code fails due the missed file,1
256526,Background scanning of project never ends,0
256536,Search for MAVEN artifacts outside of MAVEN project,0
256541,[newcodemodel] java.lang.NullPointerException,1
256544,NullPointerException at org.netbeans.modules.debugger.ui.views.debugging.DebuggingViewComponent$4.run,1
256545,Import library takes very long / causes IDE hang,1
256549,java.io.UTFDataFormatException: encoded string too long: 400008 bytes,1
256550,java.lang.UnsupportedOperationException at parsing file /export/home/alsimon/projects/gcc-master/gcc/testsuite/gfortran.dg/select_type_20.f90,1
256552,Phing targets not available on build.xml not directly in project directory,1
256557,NullPointerException at org.netbeans.cheat.sheet.CodeTemplatesTopComponent.resultChanged,0
256561,Can't collapse custom html elements,0
256563,Profile/Attach button text changes while profiling,1
256564,Collected data not reset after closing profiling session,1
256567,OutOfMemoryError: GC overhead limit exceeded,0
256571,GDB has unexpectedly stopped with return 1,0
256573,Added files in 'Versioning Output' have {1} as decoration,1
256574,Wrong format string notification,1
256576,SASS error hint when defining maps,1
256577,Test functionality of Bugzilla - EDIT issue(SSO),1
256578,Wildfly starts well but its deployments aren't shown.,1
256581,Tooltips do not appear when NetBeans running over remote display,0
256582,List of custom Grunt/Gulp tasks not displayed,1
256584,No output when external cmd fails,1
256585,[ConvertorProjects] Can not upload library files,1
256589,OutOfMemoryError: GC overhead limit exceeded,1
256590,NullPointerException at org.netbeans.modules.viewmodel.TreeModelRoot.destroy,1
256592,XKB keyboard layout is not respected,1
256595,Test functionality of Bugzilla - EDIT issue(SSO),1
256601,NullPointerException at org.netbeans.modules.refactoring.spi.impl.ParametersPanel.showProblem,1
256604,Test functionality of Bugzilla - EDIT issue(SSO),1
256606,Use Kwallet5 for passwords,1
256608,OutOfMemoryError: Java heap space,0
256610,NullPointerException at org.netbeans.modules.csl.hints.infrastructure.SuggestionsTask$1.run,1
256611,OutOfMemoryError: Java heap space,0
256613,IDE hangs after startup,0
256616,Test functionality of Bugzilla - EDIT issue(SSO),1
256618,NullPointerException at org.netbeans.modules.java.freeform.Classpaths.createExecuteClasspath,1
256619,Inspect ignores checks of insecure C lib functions on the first run,1
256621,"Suggestion ""Assign Return Value To New Variable"" is not available on array constructor or when accessing properties",1
256625,[newcodemodel] AssertionError: getIdentifierInfo() on a tok::raw_identifier token! kind:raw_identifier,1
256626,[newcodemodel] AssertionError: Didn't allow wide strings in,1
256627,java.io.IOException: Error creating directory C:\Users\svass\AppData\Local\NetBeans\Cache\8.1\remote-files\[10.39.33.233:22C]_22_root,1
256628,[newcodemodel] AssertionError: Invalid token lexed,1
256629,[newcodemodel] StringIndexOutOfBoundsException: String index out of range: -8,1
256630,[newcodemodel] AssertionError: must be non negative -2,1
256631,"Remote profiling fails with ""java.io.FileNotFoundException""",1
256639,Test functionality of Bugzilla - EDIT issue(SSO),1
256641,Variable substitution not recognized in @media directive,1
256643,NullPointerException at org.netbeans.modules.git.remote.ui.history.SearchExecutor.appendResults,1
256648,"Shortly after creating Setuptools project, Netbeans terminates with no explanation or log entry",1
256649,Remote Git cannot commit file,1
256650,Remote Git -shows wrong status for files modified from outside IDE,1
256651,OutOfMemoryError: Java heap space,0
256652,Root relative path is not working,0
256653,"""What"" instead of ""want"" Grammar problem",1
256654,OutOfMemoryError: Java heap space,0
256658,Test functionality of Bugzilla - EDIT issue(SSO),1
256659,Auto completion of [] brackets adds one additional [,1
256661,VM Options in the project properties (maven project) - items disappear.,1
256664,NullPointerException at org.netbeans.modules.javascript2.requirejs.editor.RequireJSCodeCompletion.complete,1
256665,NullPointerException at com.kenai.redminenb.query.RedmineQueryController$8.guardedRun,0
256666,Profiler can be switched to a misconfigured mode,1
256669,java.util.concurrent.TimeoutException at java.util.concurrent.FutureTask.get,1
256670,InterruptedException at java.lang.Object.wait,1
256672,"Incorrect warning in a method about collection only being added to, when it actually gets returned",0
256678,Test functionality of Bugzilla - EDIT issue(SSO),1
256679,org.netbeans.modules.parsing.impl.RunWhenScanFinishedSupport.runWhenScanFinished: LowPerformance took 29238 ms.,1
256680,Unexpected blank line after code template,1
256683,Unable to build BoofCV / git clone https://github.com/lessthanoptimal/BoofCV.git / on Mac OS X version 10.11.1 running on x86_64,0
256684,Triggered profiling points don't work in subsequent profiling sessions,1
256685,NullPointerException at org.cakephp.netbeans.ConfigurationFiles.getFiles,0
256687,Hex byte 0x89 = octal 0111,1
256689,Profiling Points can be edited during a profiling session,1
256694,Invalid warning on variable that does exist set by list in foreach,0
256696,ServiceLoader doesn't work in osgi with html4j bundles,1
256700,errors in stlport,1
256708,Test functionality of Bugzilla - EDIT issue(SSO),1
256710,"IndexOutOfBoundsException: Index: -1, Size: 0",1
256711,opened and parsed JConvert project slows building clank.suite,0
256712,AssertionError at org.netbeans.modules.web.clientproject.api.json.JsonFile.insertValue,1
256717,NullPointerException at org.netbeans.modules.maven.hyperlinks.GoToImplementation.actionPerformed,1
256720,Test functionality of Bugzilla - EDIT issue(SSO),1
256721,Editor -> On Save -> Organize Imports does not use Project specific Organize Imports settings,0
256724,After deleting elements in a form no source errors are shown.,0
256727,Test functionality of Bugzilla - EDIT issue(SSO),1
256729,IllegalArgumentException: URI has a query component,1
256730,Copyright header is reformatted unexpectedly,1
256734,Test functionality of Bugzilla - EDIT issue(SSO),1
256735,HeapTest.testHeapDumpLog() fails,1
256738,NullPointerException at org.netbeans.modules.cnd.modelimpl.csm.deep.LazyStatementImpl.getStatementTokenStream,1
256739,IDE cannot find type of (*this) in initializer,1
256742,NullPointerException at org.openide.filesystems.FileUtil.toFile,0
256743,modifying launcher file isn't tracked by project,1
256748,inaccuracy tests: OSS IDE and Vlc,1
256757,Test functionality of Bugzilla - EDIT issue(SSO),1
256759,@property ignores all but the last type when multiple types are declared with pipe (|) during auto-complete,1
256764,AssertionError at org.netbeans.modules.cnd.modelimpl.csm.deep.LazyStatementImpl.getStatementTokenStream,1
256765,Try to edit netbeans template and everything is RED,0
256770,Changing toolchain on multiple projects causes problems,1
256771,Script breakpoint not hit in the remote attach case,1
256772,Could not verify quality of smart build analyzer.,1
256773,Test functionality of Bugzilla - EDIT issue(SSO),1
256775,UMBRELLA: NetBeans incompatibilities with JDK 9 Verona version format,1
256776,Profiler uses java version format not compatible with JDK 9 Verona,1
256777,No errors or bugs hint badges or underlines in the editor.,0
256781,MonitorFilter propagates java.version to EngineData which may be incompatible with JDK 9 Verona,0
256783,Some results are missing in instrumented method profiling,1
256784,Incorrect usage of java.version in JaxWsStackSupport,1
256785,CSS code completion broken in scss file when @import is used,1
256789,"""Limited code assistance (no associated project)"" for a file from Project view",1
256790,ClassLoaderManager.getLoadedClassInThisLoaderOnly() sometimes returns null,1
256791,failing SelectModelTestCase.testSelectModelGetFunctions on Ubuntu test machine,1
256794,TestsuiteNode does incorrect parsing of java.version regarding the JDK 9 Verona version scheme,1
256798,Implement all abstract methods does not consider default method of the interface,1
256799,Failing org.netbeans.modules.bugzilla.query.ControllerTest.testParameters,1
256800,Test functionality of Bugzilla - EDIT issue(SSO),1
256801,NullPointerException at org.netbeans.modules.form.FormDataObject.createNodeDelegate,1
256802,Netbeans IDE 8.1 breaks down several times a day,0
256803,Can not verify fs_server quality with Studio analysis tools,1
256807,"IllegalArgumentException: URI scheme is not ""file""",0
256808,Error initializing  Quantum renderer :no suitable pipeline found,0
256813,Cannot change mark occurences background color for Java,0
256816,Conditional preprocessing fails when user macros affect system or user header file content,0
256817,org-eclipse-jgit-RELEASE81.jar due to invalid entry size (expected 1159200768 but got 133988 bytes),1
256819,Testing file with junit - maven.,1
256822,Support for auto-breakpoint insertion for 'debugger' statements with nashorn,1
256830,Compsite view for projects,0
256831,Test functionality of Bugzilla - EDIT issue(SSO),1
256836,"""Generate JNI Library Project"" generates remote project (user can't select local host)",1
256838,org.netbeans.modules.deadlock.detector.Detector$DeadlockDetectedException: AWT-EventQueue-1,0
256839,Add support Hot Spots with multiple references,1
256842,IllegalStateException: this shall be called just from AWT thread,0
256844,NullPointerException at org.netbeans.modules.parsing.lucene.LuceneIndex$DirCache$IndexWriterReference.assertSingleThreadWriter,1
256845,Test functionality of Bugzilla - EDIT issue(SSO),1
256846,Not support palette in RCP development,0
256847,"Highlighting of ""Go to Type"" can be hard to read",0
256853,Test functionality of Bugzilla - EDIT issue(SSO),1
256855,Fix security issues in fs_server that were discovered by dynamic and static tests,1
256863,Test functionality of Bugzilla - EDIT issue(SSO),1
256865,Yii project background scanning of project keep hanging,1
256875,NullPointerException at com.junichi11.netbeans.modules.github.issues.query.GitHubQuery.refresh,0
256877,IllegalArgumentException: Not all requested modules can be enabled: [Netigso: /home/brenoalmeida/netbeans-dev-201511240002/extra/modules/org-eclipse-mylyn-commons-soap.jar]FDFD,1
256880,Memory issue with lookup,1
256885,Test functionality of Bugzilla - EDIT issue(SSO),1
